cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
-0.057948083,-0.9983196,-0.7437638,0.6684425,-1.0010836,1.7142605
0.98440117,0.17593858,0.9681358,-0.25042593,0.14460081,-0.06791624
0.9883407,0.1522587,0.8202627,0.571987,2.1110973,-2.905017
-0.22312441,-0.97479,-0.61884665,0.78551185,0.0857908,-3.860599
0.92990375,0.36780292,0.51740825,-0.8557387,-1.0727451,0.35777363
-0.26098838,-0.9653419,-0.82927644,0.55883855,0.18790427,6.095335
0.8494911,-0.527603,0.61407924,0.78924435,2.8704417,-3.6599555
0.9856761,-0.16864951,-0.1807219,-0.9835342,4.025254,-6.879284
0.3455036,-0.93841743,0.2238806,0.9746166,-0.7312919,1.5992544
0.99305624,0.11764035,0.9439659,0.33004293,2.43175,-3.2905555
0.97343075,0.22898161,0.771127,-0.6366814,-3.7750323,6.1834607
0.971142,-0.238502,0.9430436,-0.33266926,-1.7659158,2.7712398
0.98915976,-0.14684315,0.87233406,0.48891035,-0.42591617,1.2794831
0.8443633,0.53577113,0.7177043,-0.696348,0.21048604,-1.6266859
0.9714071,0.23741998,-0.9802547,0.19773899,-3.842828,0.73727995
0.7955859,0.6058408,-0.9431018,-0.33250403,4.199877,0.12759194
0.6580464,-0.7529774,0.30922255,0.9509897,0.11228324,1.134376
0.58526945,0.8108389,-0.9555445,0.29484707,-3.1048427,0.11770046
0.92662805,0.37597933,0.9985873,0.053135887,3.5120695,-5.763731
0.8816603,-0.4718847,0.9809341,0.19434078,-2.7088926,3.951168
0.98268926,-0.1852616,0.8865152,-0.4626994,-1.4594953,2.803251
0.9991377,0.0415192,0.8996076,-0.4366992,-0.2294758,0.2819304
0.59652436,0.802595,0.6100671,-0.79234976,1.2564824,-2.2802699
0.9999093,-0.0134678725,0.98304325,-0.18337387,-0.15866989,-0.14645925
