l_tor,l_tor,l_tor,l_tor,l_tor,l_tor,no_tor,no_tor,no_tor,no_tor,no_tor,no_tor,r_tor,r_tor,r_tor,r_tor,r_tor,r_tor
cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.59539366,0.07856909,0.001361211,0.05646303,0.70799303,0.7290101,0.059729937,0.007459436,0.029892191,0.008221714,0.034030274,0.02575411,0.5810193,0.08009365,0.021724926,0.05678972,0.74480015,0.7857454
0.4416313,0.07595557,0.07443102,0.120603286,0.4472939,0.5246107,0.11984101,0.021833824,0.022160513,0.03032778,0.12604813,0.1447784,0.36954156,0.06354132,0.068768375,0.10383317,0.38718283,0.45535228
0.49869323,0.111020364,0.0539584,0.005608189,0.48388326,0.5731787,0.13639334,0.031525645,0.015300011,0.0026679735,0.13824458,0.15773712,0.41723838,0.089676574,0.04916694,0.0025590765,0.4198519,0.49172384
0.52286834,0.09838833,0.037406076,0.106664486,0.6367745,0.7591746,0.09261679,0.020962648,0.020418163,0.011869759,0.08570184,0.10415986,0.4546989,0.08466732,0.031961232,0.09468583,0.58189046,0.69644994
0.4233366,0.0888054,0.07051072,0.12234564,0.44511598,0.55139935,0.11570293,0.024556246,0.020635957,0.032179028,0.12256343,0.14880759,0.35516715,0.07268866,0.06550147,0.1064467,0.38043123,0.47059783
0.53985626,0.071381904,0.08292497,0.012359795,0.63089406,0.7234564,0.09245345,0.016987912,0.026679734,0.020037025,0.078950234,0.07432212,0.49509963,0.06550147,0.06996624,0.003865839,0.6107481,0.7155069
0.50239575,0.06571926,0.07225308,0.08379614,0.63372535,0.73587066,0.08559294,0.015354459,0.025209626,0.002232386,0.078351304,0.07748013,0.46079713,0.05994773,0.059729937,0.08390504,0.610857,0.7231297
0.5165523,0.06506588,0.06680823,0.14717412,0.599314,0.6727104,0.0889143,0.017913535,0.024937384,0.016661221,0.076118916,0.08929544,0.44685832,0.054611783,0.059185453,0.1306218,0.5457367,0.61608404
0.50936514,0.06310574,0.044811063,0.08227159,0.5929979,0.6550692,0.08646412,0.019982576,0.018893607,0.00021779374,0.07334205,0.083088316,0.4446804,0.051998258,0.039584015,0.075737774,0.5455189,0.60780793
0.472558,0.110366985,0.07769792,0.05090929,0.48083416,0.55096376,0.11875204,0.028149841,0.023140585,0.0076772296,0.11722749,0.12887946,0.40351737,0.096428186,0.071381904,0.042633127,0.42921704,0.4932484
0.5861374,0.103506476,0.03479255,0.0077861263,0.6469019,0.69427204,0.059348796,0.010181858,0.023412827,0.028422084,0.040890776,0.022922792,0.5609822,0.0994773,0.015408908,0.012577589,0.66432536,0.7297724
0.49107045,0.06354132,0.081836,0.10579331,0.6476642,0.7108244,0.08913209,0.016552325,0.026298596,0.012686486,0.08706305,0.09740826,0.42791027,0.05504737,0.069857344,0.09425025,0.5912556,0.65550476
0.43901774,0.07660895,0.08619188,0.12887946,0.43596864,0.5252641,0.1203855,0.023140585,0.023576174,0.03130785,0.12147447,0.1445606,0.3673636,0.062234566,0.07595557,0.109278016,0.38064903,0.45687684
0.48823914,0.07203528,0.047860175,0.10100185,0.57753456,0.65811825,0.098170534,0.019111402,0.019982576,0.019438092,0.09272569,0.108297944,0.4163672,0.061363388,0.043068714,0.08619188,0.5169879,0.5927801
0.53397584,0.098170534,0.04938473,0.020635957,0.49215943,0.55314165,0.12779048,0.026189698,0.016606774,0.013557661,0.11483175,0.122781225,0.45970815,0.08488511,0.044811063,0.020418163,0.4411957,0.4969509
0.49259502,0.064412504,0.080964826,0.10753566,0.6472286,0.7103888,0.088478714,0.016280083,0.02646194,0.011924208,0.0871175,0.097680494,0.42899925,0.055918545,0.069203965,0.09533922,0.59082,0.65528697
0.5004356,0.11189154,0.051780462,0.0043014265,0.49128824,0.57797015,0.13563105,0.030763367,0.015735598,0.0023412828,0.13595775,0.15599477,0.41767398,0.09054775,0.048731353,0.002123489,0.422901,0.4934662
0.42464337,0.09141893,0.07007514,0.122781225,0.44947186,0.55836874,0.116900794,0.026625285,0.019982576,0.03239682,0.12637483,0.15468802,0.3573451,0.07769792,0.064412504,0.10710008,0.3893608,0.48366547
0.5990962,0.05504737,0.06201677,0.044157684,0.6433083,0.6746706,0.09615594,0.010889688,0.020363716,0.031688992,0.084776215,0.06795165,0.5246107,0.045900032,0.047642384,0.034356963,0.5947403,0.63350755
0.5799303,0.102961995,0.033703584,0.009528477,0.63416094,0.68163997,0.09719046,0.017260155,0.02128934,0.022596102,0.09185451,0.07949472,0.5566264,0.0992595,0.01464663,0.013884352,0.65528697,0.72095174
0.5004356,0.11189154,0.051780462,0.004737014,0.49128824,0.57840574,0.13584885,0.030872265,0.015735598,0.0023412828,0.13573995,0.15599477,0.41810954,0.09054775,0.048513558,0.0025590765,0.4226832,0.4934662
0.42420778,0.089676574,0.07181749,0.12670152,0.4411957,0.549657,0.11646521,0.02651639,0.01845802,0.033267993,0.12789938,0.1550147,0.35538495,0.071381904,0.06702603,0.10492214,0.37672874,0.46602416
0.48671457,0.10840684,0.087934226,0.02020037,0.5627246,0.63350755,0.08989437,0.024501797,0.022106066,0.019438092,0.077262335,0.076227814,0.43248394,0.09621039,0.07268866,0.02303169,0.5317979,0.6058478
0.62610257,0.039148428,0.076173365,0.020853752,0.60170966,0.6051944,0.10410541,0.015191114,0.02510073,0.023576174,0.075737774,0.06806055,0.55357724,0.032832406,0.06354132,0.012577589,0.5544484,0.5744855
0.5069694,0.06506588,0.073559836,0.08575629,0.64417946,0.7458891,0.08069258,0.016280083,0.023249483,0.00038113905,0.065392576,0.065392576,0.44598716,0.056898616,0.06397691,0.082489386,0.591909,0.6990635
