l_tor,no_tor,r_tor
1.7147523,-0.53240114,-1.4262481
3.2319746,-0.94552284,-2.7228336
1.987774,-0.6090599,-1.6660855
2.279295,-0.6861622,-1.9186163
1.1714518,-0.4548339,-0.92255706
1.9490737,-0.5983129,-1.6325194
1.3355383,-0.4750375,-1.0774678
2.013192,-0.6157062,-1.6876943
1.5580627,-0.49930647,-1.2853249
-6.0329366,-4.9480577,10.39888
1.5073262,-0.49252725,-1.2361714
1.8362571,-0.566189,-1.5346003
1.1770328,-0.45318678,-0.9287236
1.6459297,-0.5161427,-1.3640412
2.187665,-0.6611083,-1.8383601
1.2039806,-0.4576353,-0.9521233
1.9466304,-0.59402794,-1.6291778
0.9936765,-0.4339361,-0.7543403
2.0148582,-0.6127857,-1.6885486
16.574665,-4.5176296,-13.874406
2.205876,-0.6656669,-1.8542506
0.7977637,-0.4191231,-0.54606616
1.2957882,-0.46285766,-1.0414847
1.0354921,-0.44451302,-0.78602195
2.121283,-0.6440426,-1.7821066
8.658483,-2.4177842,-7.2709894
-3.263565,-2.5489714,5.363461
1.3128203,-0.46286184,-1.0613105
1.3512963,-0.46826515,-1.0964912
-1.5380324,-1.1904055,2.512491
1.2791728,-0.4611299,-1.0289117
0.9900182,-0.43664318,-0.745487
1.9492804,-0.5957575,-1.6324142
-3.4534612,-2.8062885,5.9111104
1.0830846,-0.43387863,-0.8486348
2.0601845,-0.6257496,-1.7287991
1.2486769,-0.454487,-1.0016772
0.56023765,-0.41448298,-0.2931706
-10.853462,-8.9311695,18.71313
8.745068,-2.4592204,-7.3368573
0.8183674,-0.4137152,-0.565469
6.016574,-1.7099744,-5.0541763
1.9718565,-0.6009819,-1.6515061
-13.128917,-10.830178,22.67438
1.7140411,-0.53193754,-1.427035
13.593756,-3.7196934,-11.385913
2.0205348,-0.61658955,-1.6946394
1.3240012,-0.46765763,-1.0695192
1.1091183,-0.45038402,-0.8648735
1.784912,-0.55253935,-1.4893196
1.2076741,-0.46139523,-0.95559967
1.779501,-0.54918385,-1.482673
1.4988177,-0.49394646,-1.2298996
1.417257,-0.4778733,-1.1568347
1.5366298,-0.49657008,-1.2622715
0.92218196,-0.4222939,-0.6767722
0.6801666,-0.41513002,-0.42663625
1.7390547,-0.53892916,-1.4478978
-3.223194,-2.6178439,5.5152655
1.4375883,-0.47983485,-1.1717631
1.245592,-0.46289462,-0.995502
1.3577461,-0.4728098,-1.1028717
-8.151968,-6.693852,14.017081
1.3962625,-0.48232007,-1.1321356
1.1695893,-0.45325747,-0.92511326
0.9442554,-0.4287059,-0.7025064
1.3265896,-0.46610114,-1.0743908
1.9209844,-0.58898085,-1.6070079
1.8482,-0.5687189,-1.5443285
6.6530795,-1.8809183,-5.584616
1.8740165,-0.57369035,-1.566394
1.9029034,-0.5829147,-1.5923252
-5.1858625,-4.2524137,8.948822
-0.115638174,-0.54901147,0.52683836
0.51356447,-0.41933376,-0.24596874
4.4560127,-1.2698917,-3.7307012
0.71903527,-0.4151213,-0.46044204
1.4980918,-0.48801598,-1.233543
1.8664491,-0.5752564,-1.5608107
1.8810488,-0.5786319,-1.573018
7.198726,-2.0136976,-6.042024
1.7954915,-0.554453,-1.4979864
0.847666,-0.42044982,-0.5951611
2.2329106,-0.6751011,-1.8787178
2.6265259,-0.78202343,-2.2149692
1.4718347,-0.4849781,-1.204968
2.1365566,-0.64644766,-1.7945929
1.1115516,-0.44041106,-0.8736208
